Date,Crypto,Open,High,Low,Close
2018-01-01,ETH,744.39,772.98,725.1,757.01
2018-01-02,ETH,758.0,879.9,757.01,864.0
2018-01-03,ETH,861.99,947.92,851.0,938.0
2018-01-04,ETH,937.18,988.99,905.01,942.04
2018-01-05,ETH,942.04,1009.84,900.0,958.0
2018-01-06,ETH,957.45,1005.0,950.4,998.7
2018-01-07,ETH,998.69,1098.0,997.87,1098.0
2018-01-08,ETH,1098.0,1191.0,966.01,1137.5
2018-01-09,ETH,1136.4,1289.0,1126.0,1284.99
2018-01-10,ETH,1284.0,1366.66,1202.74,1245.02
2018-01-11,ETH,1245.75,1328.0,1111.0,1195.67
2018-01-12,ETH,1286.085,1461.4450000000002,1155.55,1297.33
2018-01-13,ETH,1326.42,1594.89,1200.1,1398.99
2018-01-14,ETH,1398.99,1404.95,1221.0,1358.82
2018-01-15,ETH,1358.82,1386.0,1266.55,1272.88
2018-01-16,ETH,1276.6,1281.38,870.0,1063.0
2018-01-17,ETH,1061.2,1116.0,755.0,1019.97
2018-01-18,ETH,1023.99,1115.0,964.0,1023.43
2018-01-19,ETH,1023.43,1105.0,995.0,1048.0
2018-01-20,ETH,1048.99,1167.37,1042.15,1157.78
2018-01-21,ETH,1157.78,1158.0,925.11,1049.1
2018-01-22,ETH,1052.22,1090.99,913.24,1000.5
2018-01-23,ETH,1000.12,1025.0,910.0,985.96
2018-01-24,ETH,984.1,1067.0,957.9,1063.77
2018-01-25,ETH,1063.77,1107.67,1000.01,1048.0
2018-01-26,ETH,1048.0,1079.95,982.0,1051.07
2018-01-27,ETH,1047.99,1120.5,1033.5,1105.5
2018-01-28,ETH,1105.5,1228.0,1100.02,1221.94
2018-01-29,ETH,1220.97,1234.0,1122.01,1166.0
2018-01-30,ETH,1165.86,1172.0,1018.54,1055.14
2018-01-31,ETH,1056.0,1119.6,1011.0,1105.3
2018-02-01,ETH,1105.3,1149.5,941.0,1020.09
2018-02-02,ETH,1021.37,1024.74,734.84,910.0
2018-02-03,ETH,909.84,995.71,831.71,965.53
2018-02-04,ETH,965.6,966.9,782.0,823.56
2018-02-05,ETH,822.79,858.99,622.55,687.15
2018-02-06,ETH,686.9,807.65,556.0,783.2
2018-02-07,ETH,783.2,864.0,713.08,748.54
2018-02-08,ETH,748.8,844.98,747.0,813.0
2018-02-09,ETH,812.99,883.47,780.0,878.6
2018-02-10,ETH,878.01,910.0,808.8,850.0
2018-02-11,ETH,850.0,858.09,778.33,809.09
2018-02-12,ETH,810.14,876.61,810.14,864.53
2018-02-13,ETH,866.2,869.35,821.95,839.52
2018-02-14,ETH,840.59,923.98,839.99,920.56
2018-02-15,ETH,920.56,950.85,905.99,929.03
2018-02-16,ETH,929.01,950.0,907.75,940.98
2018-02-17,ETH,940.98,977.1,936.84,975.75
2018-02-18,ETH,975.99,983.85,911.12,916.0
2018-02-19,ETH,916.99,956.97,915.0,940.64
2018-02-20,ETH,940.65,958.99,875.01,882.61
2018-02-21,ETH,884.3,908.11,817.0,840.35
2018-02-22,ETH,840.35,874.98,780.0,804.36
2018-02-23,ETH,804.29,883.75,785.0,854.35
2018-02-24,ETH,852.74,875.78,807.41,832.98
2018-02-25,ETH,832.45,852.67,816.75,840.0
2018-02-26,ETH,840.0,880.94,834.99,865.37
2018-02-27,ETH,866.62,898.98,860.5,870.91
2018-02-28,ETH,870.91,888.0,847.59,850.1
2018-03-01,ETH,850.11,879.78,843.11,869.75
2018-03-02,ETH,870.46,878.0,845.0,855.19
2018-03-03,ETH,855.19,869.8,852.0,853.4
2018-03-04,ETH,853.99,867.38,837.05,864.9
2018-03-05,ETH,864.9,868.77,849.21,849.91
2018-03-06,ETH,849.01,850.35,801.8,815.81
2018-03-07,ETH,815.81,825.89,724.32,750.0
2018-03-08,ETH,750.0,775.0,686.01,698.8
2018-03-09,ETH,698.43,730.31,641.1,724.4
2018-03-10,ETH,724.8,751.84,650.01,680.7
2018-03-11,ETH,680.0,737.5,655.53,719.11
2018-03-12,ETH,721.01,739.15,677.0,694.72
2018-03-13,ETH,695.4,715.78,676.5,685.64
2018-03-14,ETH,687.77,702.99,582.7,610.89
2018-03-15,ETH,610.5,621.4,570.0,609.0
2018-03-16,ETH,608.99,627.51,581.21,600.01
2018-03-17,ETH,599.5,609.3,540.21,548.0
2018-03-18,ETH,548.0,553.44,453.3,535.15
2018-03-19,ETH,536.0,557.98,435.0,554.96
2018-03-20,ETH,554.98,570.4,516.06,557.5
2018-03-21,ETH,557.5,590.71,544.5,559.79
2018-03-22,ETH,559.44,578.04,507.97,539.94
2018-03-23,ETH,538.99,544.29,507.0,544.29
2018-03-24,ETH,543.88,545.12,519.5,519.53
2018-03-25,ETH,519.5,536.0,512.21,522.79
2018-03-26,ETH,522.74,526.67,466.8,485.51
2018-03-27,ETH,485.36,491.98,445.75,447.4
2018-03-28,ETH,448.15,465.51,440.01,445.87
2018-03-29,ETH,445.77,448.83,379.64,383.56
2018-03-30,ETH,383.14,411.0,363.49,392.54
2018-03-31,ETH,392.49,419.29,388.81,392.4
2018-04-01,ETH,393.25,401.0,359.01,378.48
2018-04-02,ETH,378.64,394.5,375.32,384.26
2018-04-03,ETH,384.51,520.11,379.37,415.84
2018-04-04,ETH,415.51,417.95,368.02,377.95
2018-04-05,ETH,377.87,387.33,364.0,380.48
2018-04-06,ETH,380.68,385.0,362.17,369.4
2018-04-07,ETH,369.35,394.7,368.4,384.93
2018-04-08,ETH,384.98,403.88,384.61,399.99
2018-04-09,ETH,399.55,433.31,386.24,398.44
2018-04-10,ETH,398.78,417.99,391.69,415.58
2018-04-11,ETH,415.52,433.75,409.51,430.13
2018-04-12,ETH,420.33,479.0,413.21,467.0
2018-04-13,ETH,467.6,528.71,467.6,493.47
2018-04-14,ETH,493.51,515.9,482.2,508.4
2018-04-15,ETH,507.59,532.29,502.0,524.7
2018-04-16,ETH,525.02,537.9,497.4,502.79
2018-04-17,ETH,502.79,522.4,499.84,502.2
2018-04-18,ETH,503.67,524.4,500.14,522.02
2018-04-19,ETH,523.01,564.2,519.44,554.06
2018-04-20,ETH,553.8,596.0,553.28,594.42
2018-04-21,ETH,593.03,630.0,579.1,606.03
2018-04-22,ETH,607.49,647.0,593.02,641.83
2018-04-23,ETH,641.83,649.49,618.12,639.57
2018-04-24,ETH,639.49,712.0,639.49,704.88
2018-04-25,ETH,706.47,708.6,595.0,635.91
2018-04-26,ETH,636.68,648.35,601.01,647.7
2018-04-27,ETH,648.24,685.44,645.77,649.74
2018-04-28,ETH,649.74,694.0,640.1,683.2
2018-04-29,ETH,682.0,699.92,666.0,679.99
2018-04-30,ETH,679.99,693.35,670.0,670.0
2018-05-01,ETH,671.48,675.26,627.9,664.22
2018-05-02,ETH,664.22,686.3,662.93,680.14
2018-05-03,ETH,679.8,774.38,679.8,754.23
2018-05-04,ETH,754.26,804.47,753.72,784.5
2018-05-05,ETH,784.99,827.69,779.0,798.89
2018-05-06,ETH,798.9,830.0,752.09,775.09
2018-05-07,ETH,775.09,793.14,693.52,760.21
2018-05-08,ETH,760.08,775.87,720.17,738.8
2018-05-09,ETH,739.01,760.43,706.8,741.89
2018-05-10,ETH,735.57,766.95,730.19,736.34
2018-05-11,ETH,735.5,740.37,666.67,672.39
2018-05-12,ETH,672.56,689.3,638.0,677.41
2018-05-13,ETH,677.4,740.11,668.4,736.4
2018-05-14,ETH,736.66,742.28,685.0,737.69
2018-05-15,ETH,737.8,739.59,706.97,712.0
2018-05-16,ETH,711.5,712.0,676.61,694.4
2018-05-17,ETH,694.0,719.0,679.01,685.78
2018-05-18,ETH,685.83,690.18,655.81,688.0
2018-05-19,ETH,688.18,717.0,682.54,700.0
2018-05-20,ETH,700.0,724.4,683.8,718.82
2018-05-21,ETH,720.4,721.58,686.99,697.58
2018-05-22,ETH,697.58,700.0,653.73,655.46
2018-05-23,ETH,653.82,657.61,562.9,586.94
2018-05-24,ETH,586.96,609.3,543.64,590.01
2018-05-25,ETH,590.02,616.8,575.0,582.0
2018-05-26,ETH,582.33,605.57,567.98,598.04
2018-05-27,ETH,598.04,605.58,555.01,560.66
2018-05-28,ETH,559.55,575.3,514.78,523.4
2018-05-29,ETH,523.4,572.29,506.89,567.86
2018-05-30,ETH,567.97,585.71,540.62,548.83
2018-05-31,ETH,548.87,585.23,546.82,579.21
2018-06-01,ETH,579.99,589.63,562.08,564.31
2018-06-02,ETH,564.63,599.83,564.0,591.36
2018-06-03,ETH,591.2,629.2,590.0,621.08
2018-06-04,ETH,621.97,635.0,579.17,596.14
2018-06-05,ETH,596.48,614.49,576.0,608.05
2018-06-06,ETH,606.92,612.62,592.99,603.72
