Date,Crypto,Open,High,Low,Close
2018-01-01,LTC,230.32,237.77,217.87,225.63
2018-01-02,LTC,225.34,265.0,225.01,254.6
2018-01-03,LTC,254.6,261.49,240.51,243.0
2018-01-04,LTC,243.01,246.92,225.0,240.0
2018-01-05,LTC,239.99,260.0,236.0,240.45
2018-01-06,LTC,241.93,305.0,240.0,280.53
2018-01-07,LTC,280.52,286.76,252.4,266.55
2018-01-08,LTC,269.99,271.45,226.0,254.96
2018-01-09,LTC,253.53,290.0,239.0,246.85
2018-01-10,LTC,245.5,254.97,231.75,251.83
2018-01-11,LTC,251.76,254.0,216.02,230.7
2018-01-12,LTC,241.23,260.325,223.36,246.275
2018-01-13,LTC,230.7,266.65,230.7,261.85
2018-01-14,LTC,261.89,280.0,232.0,239.0
2018-01-15,LTC,239.0,247.48,231.01,231.55
2018-01-16,LTC,231.98,232.75,150.4,190.73
2018-01-17,LTC,190.69,204.98,137.86,187.5
2018-01-18,LTC,187.57,210.0,177.06,192.67
2018-01-19,LTC,192.68,203.92,187.77,194.41
2018-01-20,LTC,194.73,216.6,194.49,211.75
2018-01-21,LTC,211.33,211.65,182.81,190.93
2018-01-22,LTC,190.93,195.85,165.1,180.01
2018-01-23,LTC,180.01,187.39,165.25,177.32
2018-01-24,LTC,178.01,186.13,173.0,180.99
2018-01-25,LTC,181.18,185.0,175.0,179.05
2018-01-26,LTC,179.05,182.7,165.37,175.39
2018-01-27,LTC,175.41,184.07,173.68,180.2
2018-01-28,LTC,181.16,193.65,180.0,192.16
2018-01-29,LTC,192.16,193.05,177.79,180.26
2018-01-30,LTC,180.26,180.67,160.0,163.63
2018-01-31,LTC,163.63,166.0,155.0,162.3
2018-02-01,LTC,162.33,164.87,127.0,140.84
2018-02-02,LTC,140.66,147.0,101.0,131.08
2018-02-03,LTC,130.61,165.4,117.97,160.7
2018-02-04,LTC,160.88,174.4,135.88,147.07
2018-02-05,LTC,146.77,154.9,115.5,122.6
2018-02-06,LTC,123.77,148.0,103.02,141.91
2018-02-07,LTC,141.9,159.49,129.94,137.5
2018-02-08,LTC,137.44,151.0,137.3,149.5
2018-02-09,LTC,149.5,164.83,141.9,164.83
2018-02-10,LTC,164.36,169.54,147.01,154.51
2018-02-11,LTC,155.18,155.79,140.75,148.4
2018-02-12,LTC,149.07,163.67,149.02,161.64
2018-02-13,LTC,161.35,162.31,152.76,158.82
2018-02-14,LTC,159.42,220.79,159.42,212.79
2018-02-15,LTC,212.99,236.86,207.64,222.07
2018-02-16,LTC,222.65,236.9,210.01,228.88
2018-02-17,LTC,228.98,234.0,225.0,229.96
