Date,Crypto,Open,High,Low,Close
2018-01-01,BTC,13996.0,14035.0,12860.0,13535.0
2018-01-02,BTC,13535.0,15217.0,12956.0,14770.0
2018-01-03,BTC,14770.0,15394.0,14589.0,15057.0
2018-01-04,BTC,15057.0,15395.0,14225.0,14921.0
2018-01-05,BTC,14921.0,16909.0,14817.0,16828.0
2018-01-06,BTC,16765.0,17118.0,16255.0,16849.0
2018-01-07,BTC,16849.0,17212.0,15770.0,16183.0
2018-01-08,BTC,16183.0,16466.0,13958.0,14901.0
2018-01-09,BTC,14915.0,15360.0,14170.0,14548.0
2018-01-10,BTC,14544.0,14694.0,13456.0,14482.0
2018-01-11,BTC,14482.0,14943.0,12846.0,13445.0
2018-01-12,BTC,13445.0,14095.0,12879.0,13695.0
2018-01-13,BTC,13744.0,14537.0,13599.0,14167.0
2018-01-14,BTC,14173.0,14353.0,13052.0,13394.0
2018-01-15,BTC,13378.0,14308.0,13378.0,13919.0
2018-01-16,BTC,13919.0,13919.0,10352.0,10617.0
2018-01-17,BTC,10617.0,11751.0,9200.0,11378.0
2018-01-18,BTC,11378.0,12045.0,10664.0,11541.0
2018-01-19,BTC,11551.0,11955.0,10989.0,11296.0
2018-01-20,BTC,11343.0,13007.0,11245.0,12904.0
2018-01-21,BTC,12904.0,12947.0,11096.0,11348.0
2018-01-22,BTC,11348.0,11869.0,10051.0,10264.0
2018-01-23,BTC,10264.0,11358.0,9972.0,10984.0
2018-01-24,BTC,10986.0,11474.0,10497.0,11208.0
2018-01-25,BTC,11213.0,11711.0,10889.0,11246.0
2018-01-26,BTC,11241.0,11609.0,10321.0,10899.0
2018-01-27,BTC,10899.0,11574.0,10773.0,11554.0
2018-01-28,BTC,11554.0,11942.0,11317.0,11757.0
2018-01-29,BTC,11762.0,11765.0,11008.0,11223.0
2018-01-30,BTC,11224.0,11224.0,9810.0,10138.0
2018-01-31,BTC,10125.0,10334.0,9628.0,9999.0
2018-02-01,BTC,9999.0,10203.0,8564.0,9146.0
2018-02-02,BTC,9146.0,9164.0,7695.0,8524.0
2018-02-03,BTC,8588.0,9471.0,8176.0,9157.0
2018-02-04,BTC,9159.0,9363.0,7860.0,8095.0
2018-02-05,BTC,8085.0,8416.0,6584.0,7152.0
2018-02-06,BTC,7152.0,7957.0,5947.0,7755.0
2018-02-07,BTC,7755.0,8583.0,7208.0,8096.0
2018-02-08,BTC,8096.0,8621.0,7548.0,8208.0
2018-02-09,BTC,8174.0,8719.0,7755.0,8513.0
2018-02-10,BTC,8548.0,9071.0,8165.0,8269.0
2018-02-11,BTC,8269.0,8587.0,7845.0,8313.0
2018-02-12,BTC,8313.0,8903.0,8030.0,8830.0
2018-02-13,BTC,8830.0,8977.0,8370.0,8564.0
2018-02-14,BTC,8553.0,9368.0,8483.0,9283.0
2018-02-15,BTC,9289.0,10218.0,9251.0,9883.0
2018-02-16,BTC,9883.0,10293.0,9719.0,10058.0
2018-02-17,BTC,10084.0,10879.0,10053.0,10845.0
2018-02-18,BTC,10845.0,11279.0,10156.0,10763.0
2018-02-19,BTC,10772.0,11255.0,10314.0,11079.0
2018-02-20,BTC,11079.0,11746.0,11056.0,11712.0
2018-02-21,BTC,11712.0,11768.0,10244.0,10291.0
2018-02-22,BTC,10291.0,10914.0,9731.0,9899.0
2018-02-23,BTC,9912.0,10398.0,9593.0,9966.0
2018-02-24,BTC,9916.0,10510.0,9381.0,9499.0
2018-02-25,BTC,9499.0,9858.0,9305.0,9588.0
2018-02-26,BTC,9588.0,10443.0,9386.0,10366.0
2018-02-27,BTC,10366.0,10852.0,10147.0,10745.0
2018-02-28,BTC,10745.0,11044.0,10384.0,10558.0
2018-03-01,BTC,10532.0,11074.0,10222.0,10924.0
2018-03-02,BTC,10931.0,11166.0,10784.0,11034.0
2018-03-03,BTC,11016.0,11498.0,10952.0,11286.0
2018-03-04,BTC,11286.0,11475.0,11068.0,11397.0
2018-03-05,BTC,11400.0,11660.0,11335.0,11561.0
2018-03-06,BTC,11560.0,11603.0,10585.0,10793.0
2018-03-07,BTC,10788.0,10888.0,9468.0,9947.0
2018-03-08,BTC,9943.0,10109.0,9076.0,9341.0
2018-03-09,BTC,9341.0,9409.0,8371.0,9053.0
2018-03-10,BTC,9022.0,9505.0,8787.0,8838.0
2018-03-11,BTC,8838.0,9715.0,8475.0,9539.0
2018-03-12,BTC,9531.0,9885.0,8778.0,9104.0
2018-03-13,BTC,9104.0,9475.0,8861.0,8308.0
2018-03-14,BTC,9101.0,9313.0,7955.0,8019.0
2018-03-15,BTC,8019.0,8413.0,7677.0,8508.0
2018-03-16,BTC,8303.0,8600.0,7924.0,8504.0
2018-03-17,BTC,8502.0,8522.0,7756.0,7951.0
2018-03-18,BTC,7950.0,8381.0,7336.0,8381.0
2018-03-19,BTC,8271.0,8994.0,8068.0,8994.0
2018-03-20,BTC,8381.0,9035.0,8324.0,8920.0
2018-03-21,BTC,8994.0,9160.0,8613.0,8613.0
2018-03-22,BTC,8920.0,9085.0,8495.0,8626.0
2018-03-23,BTC,8613.0,8766.0,8296.0,8655.0
2018-03-24,BTC,8655.0,9000.0,8633.0,8679.0
2018-03-25,BTC,8679.0,8701.0,8381.0,8620.0
2018-03-26,BTC,8622.0,8646.0,7863.0,7885.0
2018-03-27,BTC,7885.0,8252.0,7751.0,7997.0
2018-03-28,BTC,7998.0,8096.0,7745.0,7871.0
2018-03-29,BTC,7871.0,8000.0,6916.0,6846.0
2018-03-30,BTC,7069.0,7324.0,6594.0,6912.0
2018-03-31,BTC,6912.0,7214.0,6760.0,6926.0
2018-04-01,BTC,6926.0,7035.0,6443.0,6829.0
2018-04-02,BTC,6892.0,7108.0,6760.0,6920.0
2018-04-03,BTC,6979.0,7507.0,6978.0,7411.0
2018-04-04,BTC,7405.0,7438.0,6731.0,6847.0
2018-04-05,BTC,6847.0,6919.0,6584.0,6749.0
2018-04-06,BTC,6749.0,6850.0,6513.0,6602.0
2018-04-07,BTC,6603.0,7050.0,6538.0,7006.0
2018-04-08,BTC,7002.0,7095.0,6860.0,6956.0
2018-04-09,BTC,6953.0,7171.0,6617.0,6665.0
2018-04-10,BTC,6665.0,6860.0,6660.0,6840.0
2018-04-11,BTC,6840.0,6959.0,6787.0,6889.0
2018-04-12,BTC,6890.0,8055.0,6766.0,7727.0
2018-04-13,BTC,7730.0,8219.0,7711.0,7893.0
2018-04-14,BTC,7902.0,8175.0,7813.0,8072.0
2018-04-15,BTC,8072.0,8389.0,7967.0,8287.0
2018-04-16,BTC,8287.0,8408.0,7909.0,7990.0
2018-04-17,BTC,7990.0,8151.0,7834.0,7913.0
2018-04-18,BTC,7915.0,8212.0,7867.0,8188.0
2018-04-19,BTC,8188.0,8294.0,8105.0,8234.0
2018-04-20,BTC,8234.0,8555.0,8221.0,8522.0
2018-04-21,BTC,8522.0,9021.0,8512.0,8773.0
2018-04-22,BTC,8773.0,9010.0,8754.0,8887.0
2018-04-23,BTC,8894.0,8987.0,8762.0,8930.0
2018-04-24,BTC,8932.0,9459.0,8914.0,9451.0
2018-04-25,BTC,9451.0,9747.0,8734.0,9074.0
2018-04-26,BTC,9074.0,9172.0,8661.0,9108.0
2018-04-27,BTC,9108.0,9372.0,8964.0,8973.0
2018-04-28,BTC,8976.0,9419.0,8874.0,9365.0
2018-04-29,BTC,9365.0,9537.0,9183.0,9294.0
2018-04-30,BTC,9293.0,9443.0,9125.0,9275.0
2018-05-01,BTC,9275.0,9282.0,8842.0,9013.0
2018-05-02,BTC,9013.0,9182.0,8984.0,9168.0
2018-05-03,BTC,9181.0,9726.0,9162.0,9658.0
2018-05-04,BTC,9656.0,9791.0,9540.0,9689.0
2018-05-05,BTC,9689.0,9955.0,9676.0,9743.0
2018-05-06,BTC,9743.0,9910.0,9409.0,9540.0
2018-05-07,BTC,9518.0,9635.0,9189.0,9434.0
2018-05-08,BTC,9434.0,9455.0,9050.0,9158.0
2018-05-09,BTC,9158.0,9360.0,8976.0,9253.0
2018-05-10,BTC,9252.0,9383.0,9054.0,9094.0
2018-05-11,BTC,9094.0,9127.0,8389.0,8436.0
2018-05-12,BTC,8436.0,8643.0,8221.0,8436.0
2018-05-13,BTC,8436.0,8734.0,8343.0,8711.0
2018-05-14,BTC,8715.0,8879.0,8296.0,8842.0
