Date,Crypto,Open,High,Low,Close
2018-01-01,LTC,1.99,2.1,1.82,2.1
2018-01-02,LTC,2.07,2.22,1.93,2.21
2018-01-03,LTC,2.2,2.9,2.19,2.78
2018-01-04,LTC,2.78,3.35,2.34,2.6
2018-01-05,LTC,2.6,3.0,2.15,2.65
2018-01-06,LTC,2.47,2.83,2.46,2.63
2018-01-07,LTC,2.63,2.78,2.55,2.76
2018-01-08,LTC,2.76,2.76,1.61,2.41
2018-01-09,LTC,2.39,2.51,1.85,2.02
2018-01-10,LTC,2.04,2.1,1.6,1.95
2018-01-11,LTC,1.95,1.97,1.51,1.64
2018-01-12,LTC,2.22,2.23,1.49,1.835
2018-01-13,LTC,2.49,2.49,1.47,2.03
2018-01-14,LTC,2.03,2.08,1.8,1.85
2018-01-15,LTC,1.85,1.9,1.62,1.66
2018-01-16,LTC,1.66,1.7,0.84,1.18
2018-01-17,LTC,1.18,1.47,0.88,1.32
2018-01-18,LTC,1.32,1.75,1.23,1.58
2018-01-19,LTC,1.58,1.7,1.48,1.54
2018-01-20,LTC,1.54,1.64,1.49,1.57
2018-01-21,LTC,1.57,1.58,1.3,1.37
2018-01-22,LTC,1.37,1.42,1.14,1.34
2018-01-23,LTC,1.34,1.47,1.18,1.34
2018-01-24,LTC,1.34,1.42,1.29,1.36
2018-01-25,LTC,1.36,1.38,1.27,1.3
2018-01-26,LTC,1.3,1.32,1.11,1.21
2018-01-27,LTC,1.21,1.24,1.17,1.21
2018-01-28,LTC,1.21,1.4,1.21,1.35
2018-01-29,LTC,1.35,1.36,1.24,1.26
2018-01-30,LTC,1.26,1.26,1.06,1.09
2018-01-31,LTC,1.09,1.14,1.0,1.12
2018-02-01,LTC,1.12,1.13,0.87,0.94
2018-02-02,LTC,0.94,0.98,0.62,0.89
2018-02-03,LTC,0.89,1.02,0.76,0.95
2018-02-04,LTC,0.95,0.96,0.77,0.81
2018-02-05,LTC,0.81,0.83,0.62,0.67
2018-02-06,LTC,0.67,0.78,0.56,0.76
2018-02-07,LTC,0.76,0.83,0.69,0.71
2018-02-08,LTC,0.71,0.79,0.71,0.78
2018-02-09,LTC,0.78,0.93,0.74,0.92
2018-02-10,LTC,0.92,1.23,0.9,1.03
2018-02-11,LTC,1.03,1.04,0.89,0.96
2018-02-12,LTC,0.96,1.08,0.96,1.04
2018-02-13,LTC,1.04,1.05,0.97,0.98
2018-02-14,LTC,0.98,1.16,0.98,1.13
2018-02-15,LTC,1.13,1.15,1.07,1.11
2018-02-16,LTC,1.11,1.12,1.07,1.12
2018-02-17,LTC,1.12,1.21,1.1,1.18
2018-02-18,LTC,1.18,1.18,1.05,1.07
2018-02-19,LTC,1.07,1.14,1.07,1.11
2018-02-20,LTC,1.11,1.13,1.0,1.03
2018-02-21,LTC,1.02,1.04,0.94,0.95
2018-02-22,LTC,0.95,1.01,0.85,0.89
2018-02-23,LTC,0.89,0.99,0.85,0.94
2018-02-24,LTC,0.94,0.97,0.87,0.9
2018-02-25,LTC,0.9,0.93,0.88,0.9
2018-02-26,LTC,0.9,0.95,0.88,0.93
